,emocao,tempo,size
0,Desatento,0.0,4
1,Desatento,2.0,4
2,Desatento,4.0,4
3,Desatento,6.0,4
4,Desatento,8.0,4
5,Desatento,10.0,4
6,Desatento,12.0,5
7,Desatento,14.0,6
8,Desatento,16.0,6
9,Desatento,18.0,6
10,Desatento,20.0,6
11,Desatento,22.0,5
12,Desatento,24.0,5
13,Desatento,28.0,7
14,Desatento,30.0,8
15,Desatento,32.0,4
16,Desatento,34.0,6
17,Desatento,36.0,6
18,Desatento,38.0,7
19,Desatento,40.0,6
20,Desatento,42.0,6
21,Desatento,44.0,6
22,Desatento,46.0,6
23,Desatento,48.0,6
24,Desatento,50.0,6
25,Desatento,52.0,6
26,Desatento,54.0,6
27,Desatento,56.0,6
28,Desatento,58.0,5
29,Desatento,60.0,5
30,Desatento,62.0,7
31,Desatento,64.0,5
32,Desatento,66.0,6
33,Desatento,68.0,5
34,Desatento,70.0,5
35,Desatento,72.0,7
36,Desatento,74.0,6
37,Desatento,76.0,6
38,Desatento,78.0,6
39,Desatento,80.0,6
40,Desatento,82.0,6
41,Desatento,84.0,6
42,Desatento,86.0,5
43,Desatento,88.0,5
44,Desatento,90.0,5
45,Desatento,92.0,5
46,Desatento,94.0,5
47,Desatento,96.0,5
48,Desatento,98.0,5
49,Desatento,100.0,5
50,Desatento,102.0,5
51,Desatento,104.0,6
52,Desatento,106.0,6
53,Desatento,108.0,6
54,Desatento,110.0,6
55,Desatento,112.0,5
56,Desatento,114.0,5
57,Desatento,116.0,5
58,Desatento,118.0,5
59,Desatento,120.0,6
60,Desatento,122.0,6
61,Desatento,124.0,6
62,Desatento,126.0,5
63,Desatento,128.0,5
64,Desatento,130.0,5
65,Desatento,132.0,5
66,Desatento,134.0,5
67,Desatento,136.0,5
68,Desatento,138.0,6
69,Desatento,140.0,6
70,Desatento,142.0,5
71,Desatento,144.0,4
72,Desatento,146.0,4
73,Desatento,148.0,5
74,Desatento,150.0,5
75,Desatento,152.0,5
76,Desatento,154.0,5
77,Desatento,158.0,5
78,Desatento,160.0,5
79,Desatento,162.0,5
80,Desatento,164.0,7
81,Desatento,166.0,6
82,Desatento,168.0,7
83,Desatento,170.0,7
84,Desatento,172.0,7
85,Desatento,174.0,5
86,Desatento,176.0,6
87,Desatento,178.0,5
88,Desatento,180.0,5
89,Desatento,182.0,5
90,Desatento,186.0,4
91,Desatento,188.0,5
92,Desatento,190.0,5
93,Desatento,192.0,6
94,Desatento,194.0,5
95,Desatento,196.0,5
96,Desatento,198.0,6
97,Desatento,200.0,6
98,Desatento,202.0,6
99,Desatento,204.0,6
100,Desatento,206.0,6
101,Desatento,208.0,6
102,Desatento,210.0,6
103,Desatento,212.0,6
104,Desatento,214.0,6
105,Desatento,216.0,6
106,Desatento,218.0,6
107,Desatento,220.0,6
108,Desatento,222.0,6
109,Desatento,224.0,6
110,Desatento,226.0,6
111,Desatento,228.0,6
112,Desatento,230.0,6
113,Desatento,232.0,6
114,Desatento,234.0,6
115,Desatento,236.0,6
116,Desatento,238.0,5
117,Desatento,240.0,5
118,Desatento,242.0,5
119,Desatento,244.0,6
120,Desatento,246.0,6
121,Desatento,248.0,5
122,Desatento,250.0,5
123,Desatento,252.0,6
124,Desatento,254.0,6
125,Desatento,256.0,6
126,Desatento,258.0,7
127,Desatento,260.0,6
128,Desatento,262.0,6
129,Desatento,264.0,6
130,Desatento,268.0,7
131,Desatento,270.0,6
132,Desatento,272.0,6
133,Desatento,274.0,7
134,Desatento,276.0,7
135,Desatento,280.0,7
136,Desatento,282.0,6
137,Desatento,284.0,5
138,Desatento,286.0,5
139,Desatento,288.0,5
140,Desatento,290.0,5
141,Desatento,292.0,5
142,Desatento,294.0,5
143,Desatento,296.0,5
144,Desatento,298.0,6
