,pessoa,tempo,emocao
0,,0.0,
1,0,0.0,Affection
2,0,0.0,Annoyance
3,0,0.0,Aversion
4,0,0.0,Disquietment
5,0,0.0,Embarrassment
6,0,0.0,Fatigue
7,0,0.0,Fear
8,0,0.0,Happiness
9,0,0.0,Pain
10,0,0.0,Peace
11,0,0.0,Sadness
12,0,0.0,Sensitivity
13,0,0.0,Surprise
14,0,0.0,Sympathy
15,0,2.0,Affection
16,0,2.0,Annoyance
17,0,2.0,Anticipation
18,0,2.0,Aversion
19,0,2.0,Disquietment
20,0,2.0,Embarrassment
21,0,2.0,Fatigue
22,0,2.0,Fear
23,0,2.0,Happiness
24,0,2.0,Pain
25,0,2.0,Peace
26,0,2.0,Sadness
27,0,2.0,Sensitivity
28,0,2.0,Surprise
29,0,2.0,Sympathy
30,0,4.0,Affection
31,0,4.0,Annoyance
32,0,4.0,Anticipation
33,0,4.0,Aversion
34,0,4.0,Disquietment
35,0,4.0,Embarrassment
36,0,4.0,Fatigue
37,0,4.0,Fear
38,0,4.0,Happiness
39,0,4.0,Pain
40,0,4.0,Peace
41,0,4.0,Sadness
42,0,4.0,Sensitivity
43,0,4.0,Surprise
44,0,4.0,Sympathy
45,0,6.0,Affection
46,0,6.0,Annoyance
47,0,6.0,Anticipation
48,0,6.0,Aversion
49,0,6.0,Disquietment
50,0,6.0,Embarrassment
51,0,6.0,Fatigue
52,0,6.0,Fear
53,0,6.0,Happiness
54,0,6.0,Pain
55,0,6.0,Peace
56,0,6.0,Sadness
57,0,6.0,Sensitivity
58,0,6.0,Surprise
59,0,6.0,Sympathy
60,0,8.0,Affection
61,0,8.0,Annoyance
62,0,8.0,Anticipation
63,0,8.0,Aversion
64,0,8.0,Disquietment
65,0,8.0,Embarrassment
66,0,8.0,Fatigue
67,0,8.0,Fear
68,0,8.0,Happiness
69,0,8.0,Pain
70,0,8.0,Peace
71,0,8.0,Sadness
72,0,8.0,Sensitivity
73,0,8.0,Surprise
74,0,8.0,Sympathy
75,0,10.0,Affection
76,0,10.0,Annoyance
77,0,10.0,Anticipation
78,0,10.0,Aversion
79,0,10.0,Disquietment
80,0,10.0,Embarrassment
81,0,10.0,Fatigue
82,0,10.0,Fear
83,0,10.0,Happiness
84,0,10.0,Pain
85,0,10.0,Peace
86,0,10.0,Sadness
87,0,10.0,Sensitivity
88,0,10.0,Surprise
89,0,10.0,Sympathy
90,0,12.0,Affection
91,0,12.0,Annoyance
92,0,12.0,Anticipation
93,0,12.0,Aversion
94,0,12.0,Disquietment
95,0,12.0,Embarrassment
96,0,12.0,Fatigue
97,0,12.0,Fear
98,0,12.0,Happiness
99,0,12.0,Pain
100,0,12.0,Peace
101,0,12.0,Sadness
102,0,12.0,Sensitivity
103,0,12.0,Surprise
104,0,12.0,Sympathy
105,0,14.0,Affection
106,0,14.0,Annoyance
107,0,14.0,Anticipation
108,0,14.0,Aversion
109,0,14.0,Disquietment
110,0,14.0,Embarrassment
111,0,14.0,Fatigue
112,0,14.0,Fear
113,0,14.0,Happiness
114,0,14.0,Pain
115,0,14.0,Peace
116,0,14.0,Sadness
117,0,14.0,Sensitivity
118,0,14.0,Surprise
119,0,14.0,Sympathy
120,0,16.0,Affection
121,0,16.0,Annoyance
122,0,16.0,Anticipation
123,0,16.0,Aversion
124,0,16.0,Disquietment
125,0,16.0,Embarrassment
126,0,16.0,Fatigue
127,0,16.0,Fear
128,0,16.0,Happiness
129,0,16.0,Pain
130,0,16.0,Peace
131,0,16.0,Sadness
132,0,16.0,Sensitivity
133,0,16.0,Surprise
134,0,16.0,Sympathy
135,0,18.0,Affection
136,0,18.0,Annoyance
137,0,18.0,Anticipation
138,0,18.0,Aversion
139,0,18.0,Disquietment
140,0,18.0,Embarrassment
141,0,18.0,Fatigue
142,0,18.0,Fear
143,0,18.0,Happiness
144,0,18.0,Pain
145,0,18.0,Peace
146,0,18.0,Sadness
147,0,18.0,Sensitivity
148,0,18.0,Surprise
149,0,18.0,Sympathy
150,0,20.0,Affection
151,0,20.0,Annoyance
152,0,20.0,Anticipation
153,0,20.0,Aversion
154,0,20.0,Disquietment
155,0,20.0,Embarrassment
156,0,20.0,Fatigue
157,0,20.0,Fear
158,0,20.0,Happiness
159,0,20.0,Pain
160,0,20.0,Peace
161,0,20.0,Sadness
162,0,20.0,Sensitivity
163,0,20.0,Surprise
164,0,20.0,Sympathy
165,0,22.0,Affection
166,0,22.0,Annoyance
167,0,22.0,Anticipation
168,0,22.0,Aversion
169,0,22.0,Disquietment
170,0,22.0,Embarrassment
171,0,22.0,Fatigue
172,0,22.0,Fear
173,0,22.0,Happiness
174,0,22.0,Pain
175,0,22.0,Peace
176,0,22.0,Sadness
177,0,22.0,Sensitivity
178,0,22.0,Surprise
179,0,22.0,Sympathy
180,0,24.0,Affection
181,0,24.0,Annoyance
182,0,24.0,Anticipation
183,0,24.0,Aversion
184,0,24.0,Disquietment
185,0,24.0,Embarrassment
186,0,24.0,Fatigue
187,0,24.0,Fear
188,0,24.0,Happiness
189,0,24.0,Pain
190,0,24.0,Peace
191,0,24.0,Sadness
192,0,24.0,Sensitivity
193,0,24.0,Surprise
194,0,24.0,Sympathy
195,0,28.0,Affection
196,0,28.0,Annoyance
197,0,28.0,Anticipation
198,0,28.0,Aversion
199,0,28.0,Disquietment
200,0,28.0,Embarrassment
201,0,28.0,Fatigue
202,0,28.0,Fear
203,0,28.0,Happiness
204,0,28.0,Pain
205,0,28.0,Peace
206,0,28.0,Sadness
207,0,28.0,Sensitivity
208,0,28.0,Surprise
209,0,28.0,Sympathy
210,0,30.0,Affection
211,0,30.0,Annoyance
212,0,30.0,Anticipation
213,0,30.0,Aversion
214,0,30.0,Disquietment
215,0,30.0,Embarrassment
