,pessoa,tempo,emocoes
0,0,0.0,"['Affection', 'Annoyance', 'Aversion', 'Disquietment', 'Embarrassment', 'Fatigue', 'Fear', 'Happiness', 'Pain', 'Peace', 'Sadness', 'Sensitivity', 'Surprise', 'Sympathy']"
1,0,2.0,"['Affection', 'Annoyance', 'Anticipation', 'Aversion', 'Disquietment', 'Embarrassment', 'Fatigue', 'Fear', 'Happiness', 'Pain', 'Peace', 'Sadness', 'Sensitivity', 'Surprise', 'Sympathy']"
2,0,4.0,"['Affection', 'Annoyance', 'Anticipation', 'Aversion', 'Disquietment', 'Embarrassment', 'Fatigue', 'Fear', 'Happiness', 'Pain', 'Peace', 'Sadness', 'Sensitivity', 'Surprise', 'Sympathy']"
3,0,6.0,"['Affection', 'Annoyance', 'Anticipation', 'Aversion', 'Disquietment', 'Embarrassment', 'Fatigue', 'Fear', 'Happiness', 'Pain', 'Peace', 'Sadness', 'Sensitivity', 'Surprise', 'Sympathy']"
4,0,8.0,"['Affection', 'Annoyance', 'Anticipation', 'Aversion', 'Disquietment', 'Embarrassment', 'Fatigue', 'Fear', 'Happiness', 'Pain', 'Peace', 'Sadness', 'Sensitivity', 'Surprise', 'Sympathy']"
5,0,10.0,"['Affection', 'Annoyance', 'Anticipation', 'Aversion', 'Disquietment', 'Embarrassment', 'Fatigue', 'Fear', 'Happiness', 'Pain', 'Peace', 'Sadness', 'Sensitivity', 'Surprise', 'Sympathy']"
6,0,12.0,"['Affection', 'Annoyance', 'Anticipation', 'Aversion', 'Disquietment', 'Embarrassment', 'Fatigue', 'Fear', 'Happiness', 'Pain', 'Peace', 'Sadness', 'Sensitivity', 'Surprise', 'Sympathy']"
7,0,14.0,"['Affection', 'Annoyance', 'Anticipation', 'Aversion', 'Disquietment', 'Embarrassment', 'Fatigue', 'Fear', 'Happiness', 'Pain', 'Peace', 'Sadness', 'Sensitivity', 'Surprise', 'Sympathy']"
8,0,16.0,"['Affection', 'Annoyance', 'Anticipation', 'Aversion', 'Disquietment', 'Embarrassment', 'Fatigue', 'Fear', 'Happiness', 'Pain', 'Peace', 'Sadness', 'Sensitivity', 'Surprise', 'Sympathy']"
9,0,18.0,"['Affection', 'Annoyance', 'Anticipation', 'Aversion', 'Disquietment', 'Embarrassment', 'Fatigue', 'Fear', 'Happiness', 'Pain', 'Peace', 'Sadness', 'Sensitivity', 'Surprise', 'Sympathy']"
10,0,20.0,"['Affection', 'Annoyance', 'Anticipation', 'Aversion', 'Disquietment', 'Embarrassment', 'Fatigue', 'Fear', 'Happiness', 'Pain', 'Peace', 'Sadness', 'Sensitivity', 'Surprise', 'Sympathy']"
